time,dataid,air,car,clotheswasher,dishwasher,dry,non-shiftable,total
01/01/2018 00:00,661,0,0,0,0.001,0,0.446,0.447
01/01/2018 00:15,661,0,0,0,0.001,0,0.395,0.396
01/01/2018 00:30,661,0,0,0,0.001,0,0.557,0.558
01/01/2018 00:45,661,0,0,-0.001,0.001,0,0.622,0.622
01/01/2018 01:00,661,0,0,0,0.001,0.001,0.251,0.253
01/01/2018 01:15,661,0,0,0,0,0.001,0.387,0.388
01/01/2018 01:30,661,0,0,0,0.001,0.001,0.104,0.106
01/01/2018 01:45,661,0,0.001,0,0,0.001,0.463,0.465
01/01/2018 02:00,661,0,0.002,-0.001,0,0,0.333,0.334
01/01/2018 02:15,661,0,0.002,-0.001,0,0,0.492,0.493
01/01/2018 02:30,661,0,0.002,-0.001,0,0,0.423,0.424
01/01/2018 02:45,661,0,0.001,0,0.001,0,0.164,0.166
01/01/2018 03:00,661,0,0.001,-0.001,0,0,0.628,0.628
01/01/2018 03:15,661,0,0.001,0,0.001,0,0.26,0.262
01/01/2018 03:30,661,0,0.001,-0.001,0,0,0.601,0.601
01/01/2018 03:45,661,0,0.001,0,0.001,0,0.289,0.291
01/01/2018 04:00,661,0,0.002,-0.001,0,0,0.388,0.389
01/01/2018 04:15,661,0,0.002,-0.001,0,0,0.314,0.315
31/12/2018 23:15,9922,-0.003,0,0.009,0.001,0.001,0.733,0.741
31/12/2018 23:30,9922,-0.003,0,0.003,0.001,0.001,0.73,0.732
31/12/2018 23:45,9922,-0.003,0,0.078,0.001,0.001,0.843,0.92
